@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105039835144,2-s2.0-105039835144,Next-frontier additive manufacturing of refractory high-entropy alloys: Emerging trends and future directions,S R.,Journal of Alloys and Compounds,09258388,,1071,,2026-06-15,15 June 2026,10.1016/j.jallcom.2026.188656,0,"[{'@_fa': 'true', 'affilname': 'Amrita School of Engineering, Coimbatore', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039296004,2-s2.0-105039296004,Dislocation-induced abnormal coarsening and failure mechanisms in laser-cladded Ni-based superalloys: The role of crystal integrity from single crystal to polycrystal,Wen W.,Additive Manufacturing,,22148604,125,,2026-06-05,5 June 2026,10.1016/j.addma.2026.105242,0,"[{'@_fa': 'true', 'affilname': 'Southwest Jiaotong University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'School of Mechanical Engineering', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039521309,2-s2.0-105039521309,Anomalous grain growth as a pathway toward fully single-crystallization in IN738LC Ni-based superalloy fabricated by laser powder bed fusion,Okugawa M.,Materials and Design,02641275,18734197,266,,2026-06-01,June 2026,10.1016/j.matdes.2026.116222,0,"[{'@_fa': 'true', 'affilname': 'The University of Osaka', 'affiliation-city': 'Suita', 'affiliation-country': 'Japan'}, {'@_fa': 'true', 'affilname': 'National Institute for Materials Science', 'affiliation-city': 'Tsukuba', 'affiliation-country': 'Japan'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105037959008,2-s2.0-105037959008,Cracking suppression in powder bed fusion-laser beam of CM247LC Ni-based superalloy,Alqarni A.A.,Materials and Design,02641275,18734197,266,,2026-06-01,June 2026,10.1016/j.matdes.2026.116129,0,"[{'@_fa': 'true', 'affilname': 'University of Birmingham', 'affiliation-city': 'Birmingham', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Loughborough University', 'affiliation-city': 'Loughborough', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'King Khalid University', 'affiliation-city': 'Abha', 'affiliation-country': 'Saudi Arabia'}, {'@_fa': 'true', 'affilname': 'Jubail Industrial College', 'affiliation-city': 'Jubail', 'affiliation-country': 'Saudi Arabia'}, {'@_fa': 'true', 'affilname': 'AMP Technologies', 'affiliation-city': None, 'affiliation-country': 'Germany'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105038785715,2-s2.0-105038785715,Crack suppression and directional grain growth in M247 nickel-based superalloy via synchronous induction-assisted laser directed energy deposition,Chen M.,Materials and Design,02641275,18734197,266,,2026-06-01,June 2026,10.1016/j.matdes.2026.116172,0,"[{'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Advanced Technology for Materials Synthesis and Processing', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National Key Laboratory for Remanufacturing Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",
true,https://api.elsevier.com/content/abstract/scopus_id/105038751255,2-s2.0-105038751255,Deformation behavior and microstructural evolution in additively manufactured Inconel 625 superalloys: An in-situ tensile EBSD study,Tong W.,Journal of Alloys and Compounds,09258388,,1069,,2026-05-31,31 May 2026,10.1016/j.jallcom.2026.188631,0,"[{'@_fa': 'true', 'affilname': 'Anhui University of Science and Technology', 'affiliation-city': 'Huainan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'CAS Key Laboratory of Mechanical Behavior and Design of Materials', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037211968,2-s2.0-105037211968,Microstructure Evolution and Solute Segregation of Inconel 718 in Laser Additive Manufacturing: A Numerical and Experimental Investigation,Liu H.,Materials,,19961944,19,,2026-04-01,April 2026,10.3390/ma19081642,0,"[{'@_fa': 'true', 'affilname': 'Central South University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Foshan University', 'affiliation-city': 'Foshan', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",8
true,https://api.elsevier.com/content/abstract/scopus_id/105037213227,2-s2.0-105037213227,A Qualitative Study of the Oxidation Resistance of PBF-LB/M High-Ta Ni-Based Superalloys with Hf Additions,Dörries K.,Materials,,19961944,19,,2026-04-01,April 2026,10.3390/ma19081482,0,"[{'@_fa': 'true', 'affilname': 'Technische Universität Braunschweig', 'affiliation-city': 'Braunschweig', 'affiliation-country': 'Germany'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",8
true,https://api.elsevier.com/content/abstract/scopus_id/105039451357,2-s2.0-105039451357,Influence of Al and Ti Content on γ′ Phase Precipitation and Cracking Sensitivity in NiCrFeAlxTiy Alloys Fabricated by Electron Beam Freeform Fabrication,Yu B.,Advanced Engineering Materials,14381656,15272648,,,2026-01-01,2026,10.1002/adem.70900,0,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'University of Warwick', 'affiliation-city': 'Coventry', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Faculty of Science, Engineering and Medicine', 'affiliation-city': 'Coventry', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Harbin Institute of Technology Weihai', 'affiliation-city': 'Weihai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Key Laboratory of Ecological Metallurgy of Multimetallic Mineral (Northeastern University), Ministry of Education', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105037741303,2-s2.0-105037741303,Effect of TiC particles on the microstructure and properties of Inconel 939 processed by selective laser melting,Chen C.,Journal of Materials Research,08842914,20445326,,,2026-01-01,2026,10.1557/s43578-026-01841-6,0,"[{'@_fa': 'true', 'affilname': 'Shanghai Polytechnic University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shanghai Research Institute of Materials', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105038527686,2-s2.0-105038527686,Study on Fretting Friction and Wear Properties of Laser Metal Deposited In718 Alloy,Lei H.,Lecture Notes in Mechanical Engineering,21954356,21954364,,33-44,2026-01-01,2026,10.1007/978-981-95-7101-7_3,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Book Series,cp,Conference Paper,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105038395527,2-s2.0-105038395527,Development of High-Performance Blade Materials and Advanced Manufacturing Technologies,Sun H.,Advanced Engineering Materials,14381656,15272648,,,2026-01-01,2026,10.1002/adem.202502852,0,"[{'@_fa': 'true', 'affilname': 'Wuhan University of Technology', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Advanced Technology for Materials Synthesis and Processing', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105039502638,2-s2.0-105039502638,The effects of heat treatments on the defect characteristics and high-temperature performances of laser powder bed fused GH5188 superalloy,Yang J.,Journal of Materials Research,08842914,20445326,,,2026-01-01,2026,10.1557/s43578-026-01854-1,0,"[{'@_fa': 'true', 'affilname': 'Beijing University of Technology', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Gaona Aero Material Co. Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,2,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",
