@_fa,prism:url,eid,dc:title,dc:creator,prism:publicationName,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:issn,prism:issueIdentifier
true,https://api.elsevier.com/content/abstract/scopus_id/105043489683,2-s2.0-105043489683,"Microstructural screening of intermetallic alloys via an additively manufactured L12-Ni3(Al,Ti)/L12-Co3(Al,W) diffusion couple",Zhou R.,Additive Manufacturing,22148604,127,,2026-07-05,5 July 2026,10.1016/j.addma.2026.105284,0,"[{'@_fa': 'true', 'affilname': 'Robert R. McCormick School of Engineering and Applied Science', 'affiliation-city': 'Evanston', 'affiliation-country': 'United States'}]",Journal,ar,Article,2,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,
true,https://api.elsevier.com/content/abstract/scopus_id/105045919125,2-s2.0-105045919125,Design for Metal Additive Manufacturing: A Review of Design Strategies and Process Constraints,Nhanga J.N.,Metals,20754701,16,,2026-07-01,July 2026,10.3390/met16070721,0,"[{'@_fa': 'true', 'affilname': 'Universidade do Porto', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}, {'@_fa': 'true', 'affilname': 'Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial', 'affiliation-city': 'Porto', 'affiliation-country': 'Portugal'}, {'@_fa': 'true', 'affilname': 'Universidade do Namibe', 'affiliation-city': 'Moçâmedes', 'affiliation-country': 'Angola'}]",Journal,re,Review,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,7
true,https://api.elsevier.com/content/abstract/scopus_id/105045810763,2-s2.0-105045810763,Additively Manufactured Ni–Co Superalloys for Hydrogen Safety Enhancement of Gas-Turbine Energy Systems: Microstructural Degradation and Crack Initiation Mechanisms,Balitskii A.I.,Energies,19961073,19,,2026-07-01,July 2026,10.3390/en19143295,0,"[{'@_fa': 'true', 'affilname': 'University of Waterloo', 'affiliation-city': 'Waterloo', 'affiliation-country': 'Canada'}, {'@_fa': 'true', 'affilname': 'West Pomeranian University of Technology in Szczecin', 'affiliation-city': 'Szczecin', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Uniwersytet Szczecinski', 'affiliation-city': 'Szczecin', 'affiliation-country': 'Poland'}, {'@_fa': 'true', 'affilname': 'Karpenko Physico-Mechanical Institute of the NAS of Ukraine', 'affiliation-city': 'Lviv', 'affiliation-country': 'Ukraine'}, {'@_fa': 'true', 'affilname': 'Luhansk Taras Shevchenko National University', 'affiliation-city': 'Starobilsk', 'affiliation-country': 'Ukraine'}]",Journal,re,Review,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,14
true,https://api.elsevier.com/content/abstract/scopus_id/105044926475,2-s2.0-105044926475,Friction stir welding and friction stir processing of additively manufactured components: A comprehensive review,Akbari M.,Journal of Materials Research and Technology,22140697,43,5137-5166,2026-07-01,July - August 2026,10.1016/j.jmrt.2026.07.092,0,"[{'@_fa': 'true', 'affilname': 'Shahid Beheshti University', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Azarbaijan Shahid Madani University', 'affiliation-city': 'Tabriz', 'affiliation-country': 'Iran'}, {'@_fa': 'true', 'affilname': 'Technical and Vocational University', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",22387854,
true,https://api.elsevier.com/content/abstract/scopus_id/105044935850,2-s2.0-105044935850,Microstructure and comprehensive properties of Inconel 625 superalloy fabricated by oscillating laser directed energy deposition: Influence of heat treatment temperature,Xu C.,Journal of Materials Research and Technology,22140697,43,5569-5585,2026-07-01,July - August 2026,10.1016/j.jmrt.2026.07.065,0,"[{'@_fa': 'true', 'affilname': 'Southwest Jiaotong University', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Changsha University of Science and Technology', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Guizhou Mechanical and Electrical Research and Design Institute', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",22387854,
true,https://api.elsevier.com/content/abstract/scopus_id/105045654743,2-s2.0-105045654743,Research progress on residual stresses in additive manufacturing superalloys,Yang J.,Zhongguo Youse Jinshu Xuebao Chinese Journal of Nonferrous Metals,,36,2121-2150,2026-06-01,June 2026,10.11817/j.ysxb.1004.0609.2026-46026,0,"[{'@_fa': 'true', 'affilname': 'Powder Metallurgy Research Institute', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,10040609,6
true,https://api.elsevier.com/content/abstract/scopus_id/105043483430,2-s2.0-105043483430,High cycle fatigue behavior study and evaluation for GH3536 alloy fabricated by laser powder bed fusion,Zhang J.,Journal of Materials Engineering,,54,191-204,2026-04-20,20 April 2026,10.11868/j.issn.1001-4381.2025.000053,0,"[{'@_fa': 'true', 'affilname': 'Dalian University of Technology', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Aero Engine Corporation of China', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Beijing Key Laboratory of Aeronautical Materials Testing and Evaluation', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,10014381,4
true,https://api.elsevier.com/content/abstract/scopus_id/105043483026,2-s2.0-105043483026,Alumina-silica based ceramic cores prepared by additive manufacturing-hot press injection composite molding,Wang Y.,Journal of Aeronautical Materials,,46,64-72,2026-04-15,15 April 2026,10.11868/j.issn.1005-5053.2024.000177,0,"[{'@_fa': 'true', 'affilname': 'Beijing Institute of Aeronautical Materials', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,10055053,4
true,https://api.elsevier.com/content/abstract/scopus_id/105044280092,2-s2.0-105044280092,Superior high-temperature mechanical properties of crack-free IN738LC superalloy additively manufactured by L-DED via novel self-adjustable baseplate optimization,Ma L.,Materials and Design,18734197,264,,2026-04-01,April 2026,10.1016/j.matdes.2026.115776,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Universiteit Twente', 'affiliation-city': 'Enschede', 'affiliation-country': 'Netherlands'}, {'@_fa': 'true', 'affilname': 'State Key Laboratory of Solidification Processing', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Suzhou Laboratory', 'affiliation-city': 'SIP', 'affiliation-country': 'China'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",02641275,
true,https://api.elsevier.com/content/abstract/scopus_id/105044292525,2-s2.0-105044292525,Particle size-dependent solidification heterogeneity: Simulation and experimental decoupling of gas-atomized Ni-based superalloy powders,Wu J.,Powder Technology,1873328X,468,,2026-01-31,31 January 2026,10.1016/j.powtec.2025.121658,10,"[{'@_fa': 'true', 'affilname': 'Powder Metallurgy Research Institute', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Ltd.', 'affiliation-city': 'Yibin', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,00325910,
true,https://api.elsevier.com/content/abstract/scopus_id/105043356583,2-s2.0-105043356583,Influence of heat treatment on organization and properties of a novel selective zone laser melting nickel-based high-temperature alloy,Hu B.,Journal of Materials Engineering,,54,150-160,2026-01-20,20 January 2026,10.11868/j.issn.1001-4381.2024.000869,1,"[{'@_fa': 'true', 'affilname': 'Institute of Metal Research Chinese Academy of Sciences', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Shenyang Aerospace University', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,10014381,1
true,https://api.elsevier.com/content/abstract/scopus_id/105043744822,2-s2.0-105043744822,Development of additive manufacturing superalloys accelerated by machine learning,Zhao X.,Fenmo Yejin Jishu Powder Metallurgy Technology,,44,352-364,2026-01-01,2026,10.19591/j.cnki.cn11-1974/tf.2025060005,0,"[{'@_fa': 'true', 'affilname': 'Shenyang Research Institute of Foundry', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'National Key Laboratory of Advanced Casting Technologies', 'affiliation-city': 'Shenyang', 'affiliation-country': 'China'}]",Journal,ar,Article,0,False,,,10013784,3
true,https://api.elsevier.com/content/abstract/scopus_id/105044108578,2-s2.0-105044108578,"Tailoring crystallographic texture by additive manufacturing: from fundamental mechanisms, programmable control to novel applications",Mo Y.,Virtual and Physical Prototyping,17452767,21,,2026-01-01,2026,10.1080/17452759.2026.2690320,0,"[{'@_fa': 'true', 'affilname': 'National University of Singapore', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'@_fa': 'true', 'affilname': 'The Hong Kong Polytechnic University', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'City University of Hong Kong', 'affiliation-city': 'Hong Kong', 'affiliation-country': 'Hong Kong'}, {'@_fa': 'true', 'affilname': 'Hunan University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",Journal,re,Review,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",17452759,1
true,https://api.elsevier.com/content/abstract/scopus_id/105044585388,2-s2.0-105044585388,Selective Laser Melting of Ni-Based Superalloys: A Mechanics of Materials Review,Siddiqui S.F.,Additive Manufacturing Handbook Product Development for the Defense Industry,,,187-208,2026-01-01,1 January 2026,10.1201/9781003537762-16,0,"[{'@_fa': 'true', 'affilname': 'University of Central Florida', 'affiliation-city': 'Orlando', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Central State University', 'affiliation-city': 'Wilberforce', 'affiliation-country': 'United States'}]",Book,ch,Book Chapter,0,False,,,,
true,https://api.elsevier.com/content/abstract/scopus_id/105043965824,2-s2.0-105043965824,Predicting the Low-cycle Fatigue Life of Additively Manufactured Nickel-Based Superalloys Using the Crystal Plasticity Finite Element Method,Wang P.,Mechanisms and Machine Science,22110992,194,315-329,2026-01-01,2026,10.1007/978-3-032-11169-2_22,0,"[{'@_fa': 'true', 'affilname': 'Northwestern Polytechnical University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': ""Xi'an Aerospace Propulsion Institute"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",Book Series,cp,Conference Paper,0,False,,,22110984,
true,https://api.elsevier.com/content/abstract/scopus_id/105044204037,2-s2.0-105044204037,"Using ICME to Design a Novel High-Strength, Printable, and Burn-Resistant Nickel-Based Superalloy for Reusable Rocket Engines",Whelan G.F.,Journal of Materials Engineering and Performance,15441024,,,2026-01-01,2026,10.1007/s11665-026-14463-0,0,"[{'@_fa': 'true', 'affilname': 'QUESTEK INNOVATIONS LLC', 'affiliation-city': 'Evanston', 'affiliation-country': 'United States'}]",Journal,ar,Article,0,False,,,10599495,
true,https://api.elsevier.com/content/abstract/scopus_id/105044046394,2-s2.0-105044046394,Microstructure-controlled corrosion in directed energy deposited Ni-based superalloy: A review,Singh M.,Proceedings of the Institution of Mechanical Engineers Part E Journal of Process Mechanical Engineering,20413009,,,2026-01-01,2026,10.1177/09544089261465093,0,"[{'@_fa': 'true', 'affilname': 'National Institute of Technology, Agartala', 'affiliation-city': 'Agartala', 'affiliation-country': 'India'}]",Journal,re,Review,0,False,,,09544089,
true,https://api.elsevier.com/content/abstract/scopus_id/105044344800,2-s2.0-105044344800,"Manufacturing for Laser Powder Bed Fusion of Oxide Dispersion Strengthened NiCoCr Alloy, GRX-810, for Turbomachinery Applications",Collopy H.,Journal of Materials Engineering and Performance,15441024,,,2026-01-01,2026,10.1007/s11665-026-14221-2,0,"[{'@_fa': 'true', 'affilname': 'NASA Marshall Space Flight Center', 'affiliation-city': 'Huntsville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Department of Mechanical and Aerospace Engineering', 'affiliation-city': 'Huntsville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Mechanical and Aerospace Engineering Department', 'affiliation-city': 'Huntsville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Component Technology Branch', 'affiliation-city': 'Huntsville', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Detailed Design', 'affiliation-city': 'Huntsville', 'affiliation-country': 'United States'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",10599495,
true,https://api.elsevier.com/content/abstract/scopus_id/105045027692,2-s2.0-105045027692,External and Internal Cracking Caused by Heat Treatment in Laser Powder Bed Fusion-Fabricated Inconel 738LC Components,Kuwabara K.,Advanced Engineering Materials,15272648,,,2026-01-01,2026,10.1002/adem.71079,0,"[{'@_fa': 'true', 'affilname': 'National Institute for Materials Science', 'affiliation-city': 'Tsukuba', 'affiliation-country': 'Japan'}]",Journal,ar,Article,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",14381656,
true,https://api.elsevier.com/content/abstract/scopus_id/105044325084,2-s2.0-105044325084,"Recent Advances in Process Parameter Effects on Microstructure, and Mechanical Properties in Directed Energy Deposition: A Review",Ala M.,Archives of Computational Methods in Engineering,18861784,,,2026-01-01,2026,10.1007/s11831-026-10725-1,0,"[{'@_fa': 'true', 'affilname': 'Dalian University of Technology', 'affiliation-city': 'Dalian', 'affiliation-country': 'China'}]",Journal,re,Review,0,False,,,11343060,
